"density","level"
"108114.15270343018",4
"5893423.668889591",4
"393063.6395452961",4
"26434.98099212818",4
"26666.666666097222",4
"143622.08624564545",4
"26666.666666097222",4
"588663.3699086073",4
"774577.9002125936",4
"1051744.0765980647",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"157687.71917122413",4
"103058.5180477814",4
"41049.442717876394",4
"30866.159856803282",4
"28726.02806311092",4
"29068.573229809655",4
"29351.620256020382",4
"28468.774475069295",4
"237905.47606238956",4
"429682.39151102275",4
"64067.45881525293",4
"123099.9648769663",4
"60971.72784692362",4
"110966.55865478498",4
"6156169.849288986",4
"204206.29412190223",4
"169828.8781579807",4
"143693.23300127572",4
"259651.15398638308",4
"569331.6147111692",4
"1099492.8456005075",4
"309648.37620827474",4
"181633.58811173646",4
"129986.33815666307",4
"298263.8151801093",4
"530125331.4876774",4
"92408.47711053444",4
"855130.5803021844",4
"949422.5409802231",4
"68689.09344223139",4
"88685.62974274214",4
"148644.69874823856",4
"570331.9807091177",4
"547830.2030233414",4
"293796.9847570578",4
"1185883.0326143552",4
"173335.744737266",4
"156134.9123241865",4
"568538.6323093734",4
"185476.23780158305",4
"225752.60194497602",4
"129813.8053511521",4
"102630.40858300372",4
"566830.0838691544",4
"1125223.242835262",4
"740358.9847230486",4
"261092.6827957278",4
"205294.0545459932",4
"210855.96874956076",4
"1373210.0290307463",4
"182041.1003839406",4
"580183.2223098489",4
"370412.90056454606",4
"10696712.66151348",4
"1168600.809093857",4
"112287.43143575567",4
"260338.97524639315",4
"223925.52445143563",4
"748283.2610050793",4
"210820.04927240114",4
"3328266.888205286",4
"75625.7134296078",4
"606892.4173322862",4
"277872.7187508946",4
"561168.5384259655",4
"764102.9070204358",4
"439136.8322935754",4
"81269.18465329688",4
"182383.85529885802",4
"58167.43361951803",4
"334145.74618857744",4
"1080854.3201808452",4
"103077.09067250948",4
"395700.53672590054",4
"204378.34211005445",4
"3313131.4599743565",4
"265712.1467348146",4
"141545.26568244287",4
"114117.65156858297",4
"193293.28427733752",4
"232857.3001445674",4
"5904434.884157161",4
"139830.05365638732",4
